District Name,PK_enrollment,K_enrollment,1_enrollment,2_enrollment,3_enrollment,4_enrollment,5_enrollment,6_enrollment,7_enrollment,8_enrollment,9_enrollment,10_enrollment,11_enrollment,12_enrollment,SP_enrollment,Total_enrollment,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Salary Totals,Average Salary,FTE Count,Total Expenditures,Total Expenditures per Pupil,AP_tests_taken,% Score 1-2,% Score 3-5,SAT_tests_taken,Reading / Writing,Math,# in Cohort,% Graduated,% H.S. Equiv.,% Dropped Out,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Abby Kelley Foster Charter Public (District),0,117,116,120,118,117,115,117,114,111,97,99,98,86,0,1425,713,18.9,1425,54.4,45.6,13.6,13.0,48.6,7586419.0,66422.0,114.2,21885215.62,15396.51,,,,12.0,593.0,528.0,82.0,98.8,0.0,1.2,82.0,64.0,78.0,0.0,28.1,10.9,60.9,10.9,26.6,26.6
Abington,51,173,168,161,144,162,140,169,161,169,146,160,153,152,8,2117,1017,19.8,2178,49.7,50.3,8.3,16.5,30.1,12181431.0,92005.0,132.4,34045424.41,15109.81,100.0,47.0,53.0,64.0,565.0,534.0,163.0,93.3,0.6,3.7,149.0,99.0,66.4,0.0,40.4,21.2,38.4,21.2,14.1,18.2
Academy Of the Pacific Rim Charter Public (District),0,0,0,0,0,0,53,72,73,76,82,63,63,58,0,540,201,19.7,538,48.5,51.5,8.2,26.0,48.7,3503450.0,67505.0,51.9,11037174.88,20587.9,109.0,92.7,7.3,,,,59.0,93.2,0.0,0.0,56.0,36.0,64.3,2.8,27.8,16.7,52.8,13.9,27.8,22.2
Acton-Boxborough,73,286,321,365,372,404,390,414,410,421,406,465,450,426,4,5207,2368,17.1,5246,47.8,52.1,5.3,14.1,8.8,36991103.0,91268.0,405.3,96289999.24,17298.43,1070.0,6.3,93.7,487.0,651.0,682.0,439.0,97.3,0.0,0.7,431.0,377.0,87.5,0.0,45.9,3.4,50.7,3.2,1.9,16.7
Acushnet,28,86,83,117,95,80,108,104,100,109,0,0,0,0,0,910,400,15.2,913,47.5,52.5,0.2,12.7,27.7,5221793.0,76566.0,68.2,17164756.77,12949.65,,,,,,,,,,,1.0,,,,,,,,,
Advanced Math and Science Academy Charter (District),0,0,0,0,0,0,0,127,125,125,146,155,147,141,0,966,490,18.6,960,47.6,52.3,2.0,6.3,10.7,5323822.0,72386.0,73.6,15918145.99,16498.74,504.0,20.4,79.6,164.0,629.0,657.0,141.0,98.6,0.0,0.0,139.0,127.0,91.4,0.0,47.2,3.1,49.6,3.1,5.5,19.7
Agawam,106,227,257,251,230,278,254,272,308,275,281,281,217,271,0,3508,2666,13.7,3476,48.3,51.6,4.8,16.8,34.7,26272816.0,85887.0,305.9,68666461.05,17843.79,209.0,44.0,56.0,64.0,578.0,564.0,286.0,90.9,0.0,6.6,258.0,169.0,65.5,0.0,34.9,23.7,41.4,20.7,21.9,7.7
Alma del Mar Charter School (District),0,100,103,102,103,52,49,146,94,48,0,0,0,0,0,797,236,24.1,791,55.0,45.0,30.5,19.7,66.6,4016617.0,63754.0,63.0,10667660.0,16671.61,,,,,,,,,,,,,,,,,,,,
Amesbury,25,134,122,116,125,142,157,166,155,147,136,126,136,157,8,1852,1115,15.1,1869,46.6,53.3,2.1,23.5,29.8,13799456.0,86626.0,159.3,39152791.79,17828.33,126.0,41.3,58.7,45.0,596.0,570.0,161.0,90.1,0.6,3.7,151.0,91.0,60.3,0.0,29.7,27.5,42.9,24.2,5.5,17.6
Amherst,32,127,134,146,132,157,161,140,0,0,0,0,0,0,0,1029,392,15.2,1014,48.2,51.5,11.8,23.3,35.2,9694674.0,83719.0,115.8,28610280.0,23288.79,,,,,,,,,,,,,,,,,,,,
